Drug (brand name),Sponsor,Properties,Indication,DrugId,DiseaseId,TA,Year
Bercolagene telserpavec,Krystal Biotech,"Topical, redosable gene therapy",Dystrophic epidermolysis bullosa,NA,-,Other,2023
Concizumab,Novo Nordisk,TFPI-targeted mAb,Haemophilia A and B,CHEMBL4297730,MONDO_0010602; MONDO_0010604,Other,2023
Donanemab,Eli Lilly,Amyloid-beta-targeted mAb,Alzheimer disease,CHEMBL4297245,MONDO_0004975,Other,2023
Efanesoctocog alfa,Sanofi/Amunix,Factor VIII therapy,Haemophilia A,NA,MONDO_0010602,Other,2023
Exagamglogene autotemcel,Vertex,Ex vivo CRISPR�Cas9 gene-edited therapy,SCD and _-thalassaemia,NA,0,Other,2023
GSK3844766A,GSK,Adjuvanted RSV vaccine,RSV in older adults,NA,0,Other,2023
Lecanemab,Eisai/Biogen,Amyloid-beta-targeted mAb,Alzheimer disease,CHEMBL3833321,MONDO_0004975,Other,2023
Momelotinib,GSK/Sierra Oncology,"ALK2, JAK1 and JAK2 inhibitor",Myelofibrosis,CHEMBL1078178,MONDO_0044903,Oncology,2023
Nedosiran,Novo Nordisk,LDH-targeted siRNA,Hyperoxaluria,CHEMBL4594338,MONDO_0002474,Other,2023
Olorofim,F2G,Dihydroorotate dehydrogenase inhibitor,Fungal infections,CHEMBL4297609,MONDO_0002041,Infectious,2023
Repotrectinib,Bristol Myers Squibb/Turning Point,ROS1 inhibitor,ROS1+ NSCLC,CHEMBL4298138,EFO_0003060,Oncology,2023
RSVpreF,Pfizer,RSV vaccine,RSV in older adults,NA,0,Other,2023
SER-109,Seres,Purified Firmicutes spores,Clostridium difficile infection,NA,EFO_0009130,Infectious,2023
SRP-9001,Sarepta,Micro-dystrophin gene therapy,Duchenne muscular dystrophy,NA,0,Other,2023
Talquetamab,J&J,GPRC5D _ CD3 bispecific antibody,Multiple myeloma,CHEMBL4594503,EFO_0001378,Oncology,2023
Tofersen,Biogen/Ionis,SOD1 antisense agent,SOD1-mutated ALS,CHEMBL3833346,MONDO_0004976,Other,2023
Valoctocogene roxaparvovec,BioMarin,Factor VIII gene therapy,Haemophilia A,CHEMBL4297579,MONDO_0010602,Other,2023
